;1;2;3;4;5;11;17;10;6;12;7;8;9;14;16;18;13;15
1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
17;0;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1
10;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0
6;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0
7;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
8;1;1;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0
9;1;0;1;0;1;0;1;1;0;0;0;1;1;1;1;1;0;0
14;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;1;0;0
16;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0
18;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1
15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
